,Name,Price,Reviews,Description
248,Shared room in Mumbai,"₹9,746",5,The Peach Villa (Only Women)Boutique Bunkhouse
249,Room in Bandra West,"₹43,232",4.83,Eternal Sunshine - The Sea View Ensuite
250,Place to stay in Mumbai,"₹8,759",5,"Cozy, Airy Bedroom in Friendly Flat - Nr Metro/AP"
251,Flat in Bandra West,"₹89,774",4.93,Tao Private 3BHK in Bandra
252,Flat in Kurla West,NA,4.6,"Palermo Studio | Modern, Quiet, Prime Spot"
253,Room in Juhu,"₹28,439",4.89,MAKING EVERY STAY BRILLIANTLY SIMPLE
254,Place to stay in Bandra West,"₹22,117",4.88,"Comfortable ensuite room in Penthouse, Bandra West"
255,Room in Andheri West,"₹13,421",5,Stay with Neha
256,Flat in Mumbai,"₹34,934",5,City Homes Crystal Apartment 2BHK (NEAR BKC)
257,Flat in Bandra West,"₹51,353",4.83,2bhk luxurious apartment Boojee1
258,Room in Mumbai,"₹9,963",4.89,KaSa Homes R1 MAHIM 4Shared Rooms in a 4BHK
259,Flat in Mumbai,"₹17,227",NA,"Ivy Good Vibes 302 Private Studio, Oshiwara Mumbai"
260,Flat in Mahim,"₹30,812",4.95,1 BHK Luxurious Apartment
261,Flat in Bandra East,NA,4.93,"Spacious, Stylish, Higher Floor 3bhk Apt near BKC"
262,Room in Dadar East,"₹22,193",4.96,Luxurious room+balcony+a great view | Dadar (East)
263,Room in Kandivali West,"₹12,273",4.94,Shiv Dhaam
264,Flat in Mumbai,NA,4.9,Cozy By The Breeze II - 1 BHK Off Carter Road
265,Apartment in Santacruz West,"₹43,999",4.93,Fern bliss~Chic 1BHK Suite w/Sea glimpse~Santacruz
266,Flat in Bandra West,NA,4.92,Bandra Bollywood Boho House
267,Tiny home in Andheri East,"₹8,034",NA,Cozy Urban Studio-Perfect for solo travelers
268,Place to stay in Andheri West,"₹8,445",4.75,Perfect place for 1 or 2@VeeraDesaiRd Andheri West
269,Flat in Bandra West,"₹35,162",4.78,Bayside 06 - Studio w/ Full Kitchen & Cozy Lounge
